date,category,title,link,author
2020-05-08 17:52:00,사회,대학 70% ‘1학기 전체’ 또는 ‘코로나 안정기까지’ 온라인 강의,http://www.hani.co.kr/arti/society/schooling/944198.html,
2020-05-08 17:49:00,English Edition,Samsung’s legal oversight committee requests more detailed reformation plans,http://www.hani.co.kr/arti/english_edition/e_business/944197.html,
2020-05-08 17:47:00,사설.칼럼,"[사설] 통합당 주호영 원내대표, ‘혁신’ 없인 ‘당 재건’도 없다",http://www.hani.co.kr/arti/opinion/editorial/944196.html,
2020-05-08 17:44:00,English Edition,2 confirmed COVID-19 patients visited multiple clubs and bars in Itaewon on May 2,http://www.hani.co.kr/arti/english_edition/e_national/944195.html,
2020-05-08 17:32:00,사회,사이버사령부 하사 코로나 확진…지침 어기고 이태원클럽 방문,http://www.hani.co.kr/arti/society/society_general/944194.html,
2020-05-08 17:28:00,문화,"‘여혐 논란’ 정영진, MBC ‘싱글벙글쇼’ 하차",http://www.hani.co.kr/arti/culture/culture_general/944193.html,
2020-05-08 17:22:00,사설.칼럼,[탁기형의 비어 있는 풍경] 선택,http://www.hani.co.kr/arti/opinion/column/944192.html,
2020-05-08 17:20:00,사설.칼럼,"[크리틱] 온라인 콘서트, 안전한가요? / 미묘",http://www.hani.co.kr/arti/opinion/column/944191.html,
2020-05-08 17:18:00,사설.칼럼,[삶의 창] 나의 심장을 부수려고 돌아온 / 이명석,http://www.hani.co.kr/arti/opinion/column/944190.html,
2020-05-08 17:02:00,정치,‘국민발안제 개헌안’ 통합당 불참으로 투표 불성립,http://www.hani.co.kr/arti/politics/assembly/944189.html,
2020-05-08 16:52:00,ESC,[ESC] 거절의 펀치를 견뎌내는 방법,http://www.hani.co.kr/arti/specialsection/esc_section/944188.html,
2020-05-08 16:51:00,ESC,[ESC] 계단이 만든 1~2m 높이차의 비밀,http://www.hani.co.kr/arti/specialsection/esc_section/944187.html,
2020-05-08 16:50:00,ESC,[ESC] 누에는 뽕잎을 먹으러 떠납니다,http://www.hani.co.kr/arti/specialsection/esc_section/944186.html,
2020-05-08 16:50:00,ESC,"[ESC] ‘쥬라기 월드’ 배우, 이르판 칸을 추모하며",http://www.hani.co.kr/arti/specialsection/esc_section/944185.html,
2020-05-08 16:49:00,ESC,[ESC] 아무것도 하지 않아도 좋아…볼리비아의 천국,http://www.hani.co.kr/arti/specialsection/esc_section/944184.html,
2020-05-08 16:36:00,사회,"성남시의료원, 소속 간호사 감염 13시간 '깜깜'…방역 허점",http://www.hani.co.kr/arti/society/health/944183.html,
2020-05-08 16:31:00,사회,8일 오후 8시부터 한달간 전국 유흥시설 운영자제 행정명령,http://www.hani.co.kr/arti/society/society_general/944182.html,
2020-05-08 16:24:00,경제,‘2020 세계협동조합대회’ 내년 3월 서울서 열린다,http://www.hani.co.kr/arti/economy/economy_general/944181.html,
2020-05-08 16:23:00,미래&과학,비타민D 부족하면 코로나19 사망률 높다,http://www.hani.co.kr/arti/science/science_general/944180.html,
2020-05-08 16:21:00,스포츠,"KBO, “볼 판정 일관성 없어” 이용규 발언에 심판 강등 조치",http://www.hani.co.kr/arti/sports/baseball/944179.html,
2020-05-08 16:20:00,사회,이태원 집단감염 ‘용인66번’서 시작된 듯…감염경로 아직 몰라,http://www.hani.co.kr/arti/society/society_general/944178.html,
2020-05-08 16:17:00,전국,보내지 못한 사연 담은 ‘오월 주먹빵’,http://www.hani.co.kr/arti/area/honam/944177.html,
2020-05-08 16:12:00,전국,전남도 ‘방사광 가속기 재심사’ 요구,http://www.hani.co.kr/arti/area/honam/944176.html,
2020-05-08 16:02:00,정치,주호영 “‘일하는 국회 찬성…국정 과감하게 협조할 것”,http://www.hani.co.kr/arti/politics/assembly/944175.html,
2020-05-08 15:41:00,전국,충북 마을기업·사회적 기업 코로나19 농산물 꾸러미 지원,http://www.hani.co.kr/arti/area/chungcheong/944174.html,
2020-05-08 15:14:00,정치,"문 대통령, 신임 국무조정실장에 구윤철 기재부 2차관 임명",http://www.hani.co.kr/arti/politics/assembly/944173.html,
2020-05-08 15:02:00,정치,홍준표는 왜 안철수의 ‘야권연대’ 구상을 견제할까요?,http://www.hani.co.kr/arti/politics/assembly/944172.html,
2020-05-08 14:38:00,사회,법무부 법제개선위 권고 “자녀가 아버지 성 따르는 민법 개정하라”,http://www.hani.co.kr/arti/society/society_general/944171.html,
2020-05-08 14:30:00,전국,다목적 방사광 가속기 충북 청주에…2028년 운영 시작,http://www.hani.co.kr/arti/area/area_general/944170.html,
2020-05-08 14:30:00,경제,"현대·기아차, 국제광고제서 5개 본상 수상",http://www.hani.co.kr/arti/economy/marketing/944169.html,
2020-05-08 14:23:00,사회,"정경심, 10일 자정 석방된다",http://www.hani.co.kr/arti/society/society_general/944168.html,
2020-05-08 14:21:00,경제,정부 일부 보조사업 줄여 3년간 총 3천억 감축,http://www.hani.co.kr/arti/economy/economy_general/944167.html,
2020-05-08 14:01:00,정치,[속보] 통합당 새 원내대표에 주호영 선출,http://www.hani.co.kr/arti/politics/assembly/944166.html,
2020-05-08 13:53:00,전국,‘이태원 주점’ 다녀온 성남시의료원 간호사 확진…수술실 폐쇄,http://www.hani.co.kr/arti/area/capital/944165.html,
2020-05-08 13:48:00,전국,"경기도, ‘재난지원금 카드’ 웃돈 요구 15곳 적발…조사 확대",http://www.hani.co.kr/arti/area/capital/944164.html,
2020-05-08 13:46:00,전국,“저금리 대출해 드려요” 정부지원 대출 사기 주의보,http://www.hani.co.kr/arti/area/gangwon/944163.html,
2020-05-08 13:44:00,정치,북 “남한 훈련 9·19 위반” 비난…남 “연례적 방어훈련” 반박,http://www.hani.co.kr/arti/politics/defense/944162.html,
2020-05-08 13:35:00,사회,우희종 “이용수 할머니 기억 왜곡된듯…정의연 입장 지켜볼것”,http://www.hani.co.kr/arti/society/society_general/944161.html,
2020-05-08 13:29:00,전국,필리핀서 강제 송환된 피의자 코로나19 확진 판정,http://www.hani.co.kr/arti/area/yeongnam/944160.html,
2020-05-08 13:17:00,전국,"고양시 새 청사 ‘원당 존치냐, 대곡 이전이냐’ 논란…진통 예상",http://www.hani.co.kr/arti/area/capital/944159.html,
2020-05-08 12:47:00,국제,"미, ‘13억 달러’ 공개하며 방위비 인상 압박",http://www.hani.co.kr/arti/international/international_general/944158.html,
2020-05-08 12:22:00,경제,창고·공장에 가연성 샌드위치패널 사용금지 추진,http://www.hani.co.kr/arti/economy/property/944157.html,
2020-05-08 12:20:00,경제,10월부터 시흥시 국내 첫 자율주행 심야셔틀 시범운행,http://www.hani.co.kr/arti/economy/economy_general/944156.html,
2020-05-08 12:15:00,전국,‘이태원 클럽발’ 확진자 점차 늘어…방문자 1500명 조사중,http://www.hani.co.kr/arti/area/capital/944155.html,
2020-05-08 12:12:00,정치,이용수 할머니 비판에…윤미향 “회계 철저하게 관리” 해명글,http://www.hani.co.kr/arti/politics/assembly/944154.html,
2020-05-08 12:00:00,경제,1분기 제조업 국내공급 전년 같은 기간보다 2.0% 증가,http://www.hani.co.kr/arti/economy/economy_general/944153.html,
2020-05-08 12:00:00,사회,폭염 특보 기준 ‘체감온도’로…한여름 폭염발표 3.7일 늘 듯,http://www.hani.co.kr/arti/society/environment/944152.html,
2020-05-08 11:57:00,사회,[SPECIAL] 자동화로 생산량을 높이는 화훼 스마트팜 영농인,http://www.hani.co.kr/arti/society/schooling/944151.html,
2020-05-08 11:50:00,문화,"배우 안성기, 미국 휴스턴국제영화제 남우주연상 수상",http://www.hani.co.kr/arti/culture/culture_general/944150.html,
2020-05-08 11:50:00,사회,“조국 구속하라” “조국은 무죄”…고성 사이 법원 출석한 조국,http://www.hani.co.kr/arti/society/society_general/944149.html,
2020-05-08 11:47:00,전국,"[속보] 대전현충원 전두환 현판, 안중근 글씨로 바꾼다",http://www.hani.co.kr/arti/area/honam/944148.html,
2020-05-08 11:36:00,사회,[MODU 만나고 싶었어요] 가을 우체국 앞에서 이등병의 편지를 쓰다 음악가 김현성,http://www.hani.co.kr/arti/society/society_general/944147.html,
2020-05-08 11:35:00,스포츠,국내 테니스 대회도 다시 열린다,http://www.hani.co.kr/arti/sports/sports_general/944146.html,
