date,category,title,author,link,desc
2020-05-07 18:32:00,전국,"대구시, 경영안정자금 1조원 늘려…비상경제 대책회의",(대구=연합뉴스) 홍창진 기자,https://www.yna.co.kr/view/AKR20200507168200053?section=local/all, (대구=연합뉴스) 홍창진 기자 = 대구시는 신종 코로나바이러스 감염증(코로나19) 사태 이후 경제회복을 위해 경영안정자금 1조...
2020-05-07 18:22:00,전국,"이용수 할머니 ""위안부 단체에 이용만 당해…수요집회 없애야""",(대구=연합뉴스) 김현태 기자,https://www.yna.co.kr/view/AKR20200507162200053?section=local/all,"""성금 어디 쓰는지 몰라""…정대협 등 관련 단체 작심 비판 (대구=연합뉴스) 김현태 기자 = 일본군 위안부 피해자인 이용수(92)..."
2020-05-07 18:12:00,전국,나노물질 '그래핀양자점' 이용한 염증성 장질환 치료법 개발,(수원=연합뉴스) 김경태 기자,https://www.yna.co.kr/view/AKR20200507162700061?section=local/all,"융기원, 서울대·벤처기업 공동연구…""치료 효과 입증"" (수원=연합뉴스) 김경태 기자 = 차세대융합기술연구원(융기원) 그래핀융합기술연..."
2020-05-07 18:08:00,전국,"주한미군 기지촌 여성 ""열아홉에 들어가 꼬박 40년 생활""",,https://www.yna.co.kr/view/AKR20200507162600061?section=local/all,"'정부가 미군 상대 성매매 조장·방조' 손배소송내 2018년 서울고법서 승소 정부 차원 공식 사과 진상규명은 요원…경기도, 전국 첫 '기지촌..."
2020-05-07 18:07:00,전국,대구시 11일부터 시내버스 운행 정상화,(대구=연합뉴스) 홍창진 기자,https://www.yna.co.kr/view/AKR20200507160800053?section=local/all, (대구=연합뉴스) 홍창진 기자 = 대구시는 신종 코로나바이러스 감염증(코로나19)에 대응해 상시 방역체제로 전환하는 데 맞춰 오는...
2020-05-07 17:59:00,전국,사회복무요원 소집 명령 2차례 거부 20대에 실형 선고,(전주=연합뉴스) 임채두 기자,https://www.yna.co.kr/view/AKR20200507157000055?section=local/all, (전주=연합뉴스) 임채두 기자 = 전주지법 형사제1단독 이의석 판사는 7일 사회복무요원 소집에 응하지 않은 혐의(병역법 ...
2020-05-07 17:58:00,전국,[대구소식] 메이커 스페이스 주관기관 7곳 선정,,https://www.yna.co.kr/view/AKR20200507158400053?section=local/all, (대구=연합뉴스) 대구·경북지방중소벤처기업청은 올해 지역 메이커 스페이스 주관기관 7곳을 선정했다고 7일 밝혔다. ...
2020-05-07 17:42:00,전국,대구 북구의회 국외연수비 전액 반납,(대구=연합뉴스) 김선형 기자,https://www.yna.co.kr/view/AKR20200507156400053?section=local/all, (대구=연합뉴스) 김선형 기자 = 대구시 북구의회는 7일 신종 코로나바이러스 감염증(코로나19) 고통 분담을 위해 올해 예산에 책정...
2020-05-07 17:40:00,전국,대구 스마트 웰니스 규제자유특구 실증사업 본격화,(대구=연합뉴스) 홍창진 기자,https://www.yna.co.kr/view/AKR20200507155500053?section=local/all, (대구=연합뉴스) 홍창진 기자 = 첨단 과학기술을 의료 분야에 접목한 '대구 스마트 웰니스 규제자유특구' 4개 실증사업이 오는 7...
2020-05-07 17:39:00,전국,"선원노련 ""포스코 물류 자회사 설립 중단하라""",(부산=연합뉴스) 이영희 기자,https://www.yna.co.kr/view/AKR20200507159300051?section=local/all, (부산=연합뉴스) 이영희 기자 = 포스코의 물류 자회사 설립 결정이 임박한 것으로 알려진 가운데 선원노조와 부산시민단체 등이 7일...
2020-05-07 18:07:00,전국,대구시 11일부터 시내버스 운행 정상화,(대구=연합뉴스) 홍창진 기자,https://www.yna.co.kr/view/AKR20200507160800053?section=local/all, (대구=연합뉴스) 홍창진 기자 = 대구시는 신종 코로나바이러스 감염증(코로나19)에 대응해 상시 방역체제로 전환하는 데 맞춰 오는...
2020-05-07 17:59:00,전국,사회복무요원 소집 명령 2차례 거부 20대에 실형 선고,(전주=연합뉴스) 임채두 기자,https://www.yna.co.kr/view/AKR20200507157000055?section=local/all, (전주=연합뉴스) 임채두 기자 = 전주지법 형사제1단독 이의석 판사는 7일 사회복무요원 소집에 응하지 않은 혐의(병역법 ...
2020-05-07 17:58:00,전국,[대구소식] 메이커 스페이스 주관기관 7곳 선정,,https://www.yna.co.kr/view/AKR20200507158400053?section=local/all, (대구=연합뉴스) 대구·경북지방중소벤처기업청은 올해 지역 메이커 스페이스 주관기관 7곳을 선정했다고 7일 밝혔다. ...
2020-05-07 17:42:00,전국,대구 북구의회 국외연수비 전액 반납,(대구=연합뉴스) 김선형 기자,https://www.yna.co.kr/view/AKR20200507156400053?section=local/all, (대구=연합뉴스) 김선형 기자 = 대구시 북구의회는 7일 신종 코로나바이러스 감염증(코로나19) 고통 분담을 위해 올해 예산에 책정...
2020-05-07 17:40:00,전국,대구 스마트 웰니스 규제자유특구 실증사업 본격화,(대구=연합뉴스) 홍창진 기자,https://www.yna.co.kr/view/AKR20200507155500053?section=local/all, (대구=연합뉴스) 홍창진 기자 = 첨단 과학기술을 의료 분야에 접목한 '대구 스마트 웰니스 규제자유특구' 4개 실증사업이 오는 7...
2020-05-07 17:39:00,전국,"선원노련 ""포스코 물류 자회사 설립 중단하라""",(부산=연합뉴스) 이영희 기자,https://www.yna.co.kr/view/AKR20200507159300051?section=local/all, (부산=연합뉴스) 이영희 기자 = 포스코의 물류 자회사 설립 결정이 임박한 것으로 알려진 가운데 선원노조와 부산시민단체 등이 7일...
2020-05-07 17:39:00,전국,코로나19 위기 울산 문화예술단체 100만원씩 특별지원,(울산=연합뉴스) 장영은 기자,https://www.yna.co.kr/view/AKR20200507158800057?section=local/all, (울산=연합뉴스) 장영은 기자 = 울산문화재단은 신종 코로나바이러스 감염증(코로나19) 장기화로 경제적인 어려움을 겪고 있는 ...
2020-05-07 17:36:00,전국,"검찰, '갑질폭행·엽기행각' 양진호에 징역 11년 구형",,https://www.yna.co.kr/view/AKR20200507158300061?section=local/all,"""전형적인 권력형 범죄로 반성하지 않아 중형 필요"" 양 ""피해 본 분들께 진심으로 사과…직원 사찰은 사실 왜곡"" (성남=연합뉴스)..."
2020-05-07 17:34:00,전국,"""남은 생을 자연에서 지내려다""…고성산불 발화 집주인 '눈물'",(고성=연합뉴스) 이종건 이재현 기자,https://www.yna.co.kr/view/AKR20200507156100062?section=local/all,"경찰, 국과수 참여한 2차 합동 감식서 화목보일러 집중 조사 (고성=연합뉴스) 이종건 이재현 기자 = ""남은 생을 자연 속에서 살..."
