date,category,title,author,link,desc
2020-05-07,,北은 ICBM 쐈는데... 우리 軍은 단거리 미사일도 실패,김진명 기자,https://news.chosun.com/site/data/html_dir/2020/05/07/2020050704746.html,"  국방과학연구소(ADD)가 최근 사거리 800㎞, 탄두 중량 2t의 신형 탄도미사일 현무-4(가칭)를 처음 시험 발사했지만, 2발 중 1발은 실패한 것으로 전해졌.."
2020-05-07,,"EPL 인스타 수입 랭킹 발표 1위 세바요스 1.5억, 팔로어 최다 포그바 1850만원",스포츠조선=노주환 기자,https://news.chosun.com/site/data/html_dir/2020/05/08/2020050800010.html,[스포츠조선 노주환 기자]전세계에서 SNS 인스타그램으로 가장 많은 돈을 버는 스타는 포르투갈 축구 아이콘 크리스티아누 호날두(유벤투스)다. 그를..
2020-05-07,,"즐라탄 vs 라이올라, 미키타리안 이적설 두고 SNS 설전",스포츠조선=김가을 기자,https://news.chosun.com/site/data/html_dir/2020/05/07/2020050704747.html,"[스포츠조선 김가을 기자]즐라탄 이브라히모비치(AC밀란)와 에이전트의 설전, 과연 진실은 무엇일까.영국 언론 풋볼런던은 7일(한국시각) '이브라히.."
2020-05-07,,"[종합]""첫만남부터 성추행"" vs ""공개연애X거액 요구"" 한지상 '공갈미수' 여성팬 고소(전문)",스포츠조선=이유나 기자,https://news.chosun.com/site/data/html_dir/2020/05/08/2020050800039.html,"[스포츠조선 이유나 기자]""첫 만남부터 잠자리 요구"" vs ""성추행 절대 NO, 공개연애X거액 요구""배우 한지상이 여성팬 A씨 성추행 의혹에 대해 입장을 밝.."
2020-05-07,,"""방호복좀 보내주세요"" 3주뒤 도착한 박스 열어보니 시체가방이...",이옥진 기자,https://news.chosun.com/site/data/html_dir/2020/05/07/2020050704739.html,"미국의 한 원주민 공동체 보건 센터가 연방 정부에 코로나 감염증 관련 의료 물품을 요청했는데, 의료 물품이 아닌 시체 가방이 배송돼 논란이 일고.."
2020-05-07,,"B.A.P 출신 문종업, 8년 만에 솔로… '헤드에이크'",뉴시스,https://news.chosun.com/site/data/html_dir/2020/05/07/2020050704738.html,그룹 'B.A.P' 출신 문종업이 데뷔 8년 만에 솔로 가수로 나섰다. 7일 오후 6시 음원사이트에 첫 번째 싱글 '헤드에이크(HEADACHE)'를 공개했다. 펑크 팝(Fun..
2020-05-07,,"'헤딩마스터' 클로제, 뮌헨 수석코치로 승격",스포츠조선=이원만 기자,https://news.chosun.com/site/data/html_dir/2020/05/08/2020050800367.html,[스포츠조선 이원만 기자] 독일 분데스리가 바이에른 뮌헨이 국가대표 레전드 출신으로 현재 팀의 U-17 팀을 이끌고 있는 클로제를 1군 수석 코치로 ..
2020-05-07,,"나띠 ""스무살 전 데뷔 '버킷리스트' 이뤄 기뻐""… '나인틴'",뉴시스,https://news.chosun.com/site/data/html_dir/2020/05/07/2020050704732.html,엠넷 '식스틴(SIXTEEN)'을 통해 얼굴을 알린 가수 나띠(18·NATTY)가 가요계에 출사표를 던졌다.  7일 오후 6시 음원사이트에 데뷔 싱글 '나인틴'을 발표했..
2020-05-07,,미스월드에 맞선 유쾌한 반란… '미스비헤이비어',뉴시스,https://news.chosun.com/site/data/html_dir/2020/05/07/2020050704729.html,영화 '미스비헤이비어'가 6월 개봉을 확정했다. 성적 대상화를 국민 스포츠로 만든 세계적 축제 미스월드에 맞서 자유를 외친 여성들의 유쾌한 반란..
2020-05-07,,"정의기억연대의 반박 ""이용수 할머니, 92세라 기억 왜곡""",표태준 기자,https://news.chosun.com/site/data/html_dir/2020/05/07/2020050704723.html," 위안부 피해자 이용수(92) 할머니가 7일 “수요집회가 (학생들에게) 증오와 상처만 가르친다”며 비판하자, 집회를 주최하는 정의기억연대 측이 이.."
